TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary,Binary (Registry),Dll
0,0x22d21284f40,580,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT,system32\\drivers\\WindowsTrustedRT.sys,-
0,0x22d21271f70,459,680,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,TrkWks,Distributed Link Tracking Client,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\System32\\trkwks.dll
0,0x22d21271f80,458,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,TPM,TPM,N/A,\\SystemRoot\\System32\\drivers\\tpm.sys,-
0,0x22d212700a0,427,1708,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,StateRepository,State Repository Service,C:\\Windows\\system32\\svchost.exe -k appmodel -p,%SystemRoot%\\system32\\svchost.exe -k appmodel -p,-
0,0x22d212700b0,426,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,SstpSvc,Secure Socket Tunneling Protocol Service,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalService -p,%SystemRoot%\\system32\\sstpsvc.dll
0,0x22d2126fd10,425,N/A,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,ssh-agent,OpenSSH Authentication Agent,N/A,%SystemRoot%\\System32\\OpenSSH\\ssh-agent.exe,-
0,0x22d21248d40,217,1392,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,LanmanWorkstation,Workstation,C:\\Windows\\System32\\svchost.exe -k NetworkService -p,%SystemRoot%\\System32\\svchost.exe -k NetworkService -p,%SystemRoot%\\System32\\wkssvc.dll
0,0x22d2124f260,251,1880,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,mpssvc,Windows Defender Firewall,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p,%SystemRoot%\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p,%SystemRoot%\\system32\\mpssvc.dll
0,0x22d2124f270,250,N/A,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,mpsdrv,mpsdrv,\\Driver\\mpsdrv,System32\\drivers\\mpsdrv.sys,-
0,0x22d2124c9d0,249,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,MozillaMaintenance,Mozilla Maintenance Service,N/A,"""C:\\Program Files (x86)\\Mozilla Maintenance Service\\maintenanceservice.exe""",-
0,0x22d2124eed0,248,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,mountmgr,mountmgr,\\Driver\\mountmgr,System32\\drivers\\mountmgr.sys,-
0,0x22d2124d940,247,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,mouhid,mouhid,N/A,\\SystemRoot\\System32\\drivers\\mouhid.sys,-
0,0x22d2124d810,246,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,mouclass,mouclass,N/A,\\SystemRoot\\System32\\drivers\\mouclass.sys,-
0,0x22d2124c640,245,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,monitor,monitor,N/A,\\SystemRoot\\System32\\drivers\\monitor.sys,-
0,0x22d2124cd60,244,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,Modem,Modem,N/A,system32\\drivers\\modem.sys,-
0,0x22d2124d0f0,243,N/A,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,MMCSS,MMCSS,\\Driver\\MMCSS,\\SystemRoot\\system32\\drivers\\mmcss.sys,-
0,0x22d2124d6e0,242,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,mlx4_bus,mlx4_bus,N/A,\\SystemRoot\\System32\\drivers\\mlx4_bus.sys,-
0,0x22d2124dcd0,241,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,MixedRealityOpenXRSvc,Windows Mixed Reality OpenXR Service,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\System32\\MixedRealityRuntime.dll
0,0x22d2124f610,240,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,Microsoft_Bluetooth_AvrcpTransport,Microsoft_Bluetooth_AvrcpTransport,N/A,\\SystemRoot\\System32\\drivers\\Microsoft.Bluetooth.AvrcpTransport.sys,-
0,0x22d2124d480,239,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,MicrosoftEdgeElevationService,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\146.0.3856.62\\elevation_service.exe""",-
0,0x22d21247ed0,238,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,MessagingService,MessagingService,N/A,%SystemRoot%\\system32\\svchost.exe -k UnistackSvcGroup,%SystemRoot%\\System32\\MessagingService.dll
0,0x22d21247d00,237,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,megasr,megasr,N/A,System32\\drivers\\megasr.sys,-
0,0x22d2124d350,236,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,megasas35i,megasas35i,N/A,System32\\drivers\\megasas35i.sys,-
0,0x22d2124c510,235,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,megasas2i,megasas2i,N/A,System32\\drivers\\MegaSas2i.sys,-
0,0x22d2124cb00,234,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,megasas,megasas,N/A,System32\\drivers\\megasas.sys,-
0,0x22d2124c2b0,233,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,MbbCx,MbbCx,N/A,system32\\drivers\\MbbCx.sys,-
